,lemma,main form,text,ent,count_terms,chi2
1543,grand potentiel,grand potentiel,grand potentiel,,5,36.071373547604765
1544,neuf an,neuf ans,neuf ans,,5,36.071373547604765
1545,grand ligne,grandes lignes,grandes lignes,,5,36.071373547604765
1546,mathématicien britannique,mathématicien britannique,mathématicienne britannique | mathématicien britannique,,5,43.285648257125715
1547,volonté propre,volonté propre,volonté propre,,5,36.071373547604765
1548,donnée visuel,données visuelles,données visuelles,,5,36.071373547604765
1549,niveau local,niveau local,niveau local,,5,36.071373547604765
1550,priorité absolu,priorité absolue,priorité absolue,,5,36.071373547604765
1551,ancien chercheur,ancien chercheur,anciens chercheurs | ancien chercheur,,5,36.071373547604765
1552,xvii siècle,xviie siècle,XVIIe siècle,,5,36.071373547604765
1553,google deepmind,google deepmind,Google DeepMind | Google Deepmind,,5,36.071373547604765
1554,ancien directeur,ancien directeur,Ancien directeur | ancien directeur,,5,36.071373547604765
1555,dignité humain,dignité humaine,dignité humaine,,5,36.071373547604765
1556,donnée structurer,donnée structurée,données structurées | donnée structurée,,5,36.071373547604765
1557,guerre froid,guerre froide,guerre froide | Guerre froide,,5,44.37957759788945
1558,décision individuel,décisions individuelles,Décisions individuelles | décisions individuelles | décision individuelle,,5,36.071373547604765
1559,assurance automobile,assurance automobile,assurance automobile,,5,36.071373547604765
1560,nouveau information,nouvelle information,nouvelles informations | nouvelle information,,5,36.071373547604765
1561,milieu hospitalier,milieu hospitalier,milieu hospitalier,,5,36.071373547604765
1562,activité électrique,activité électrique,activité électrique,,5,36.071373547604765
1563,équipe médical,équipe médicale,équipes médicales | équipe médicale,,5,36.071373547604765
1564,information financier,information financier,informations financières | information financière | information financier,,5,36.071373547604765
1565,actualité susceptible,actualités susceptibles,actualités susceptibles,,5,36.071373547604765
1566,opportunité commercial,opportunités commerciales,opportunités commerciales,,5,36.071373547604765
1567,britannique alan,britannique alan,britanniques Alan | britannique Alan,,5,36.071373547604765
1568,spécialiste mondial,spécialiste mondial,spécialiste mondial | spécialistes mondiaux,,5,36.071373547604765
1569,propre intelligence,propre intelligence,propre intelligence,,5,36.071373547604765
1570,infirmier libéral,infirmier libéral,infirmiers libéraux | infirmier libéral,,5,60.95791854103295
1571,congrès américain,congrès américain,Congrès américain | congrès américain,,5,36.98298133157454
1572,open data,open data,open data,,5,43.285648257125715
1573,connaissance scientifique,connaissance scientifique,connaissances scientifiques | connaissance scientifique,,5,36.071373547604765
1574,langage universel,langage universel,langage universel,,5,36.071373547604765
1575,exécutif européen,exécutif européen,exécutif européen,,5,50.49992296664668
1576,bras robotiser,bras robotisé,bras robotisé | bras robotisés,,5,43.285648257125715
1577,ombrière intelligent,ombrières intelligentes,ombrières intelligentes,,5,57.714197676167615
1578,propre donnée,propres données,propres données,,5,36.071373547604765
1579,conseiller clientèle,conseillers clientèle,conseillers clientèle | conseillers clientèles,,5,36.071373547604765
1580,moteur électrique,moteur électrique,moteur électrique | moteurs électriques,,5,50.49992296664668
1581,large spectre,large spectre,large spectre,,5,36.071373547604765
1582,large échelle,large échelle,large échelle,,5,36.071373547604765
1583,tumeur cancéreux,tumeur cancéreuse,tumeur cancéreuse | tumeurs cancéreuses,,5,36.071373547604765
1584,expérience immersif,expérience immersive,expérience immersive | expériences immersives,,5,36.071373547604765
1585,photo instagram,photos instagram,photos Instagram,,5,36.071373547604765
1586,microsoft research,microsoft research,Microsoft Research,,5,36.071373547604765
1587,rayon x,rayons x,rayons X,,5,50.49992296664667
1588,activité économique,activité économique,activité économique,,5,36.071373547604765
1589,information issu,information issus,informations issues | information issus | informations issus,,5,36.98298133157454
1590,court distance,courte distance,courte distance | courtes distances,,5,43.28564825712572
1591,raison simple,raison simple,raison simple | raisons simples,,5,36.071373547604765
1592,faible coût,faible coût,faible coût,,5,36.071373547604765
1593,cadre supérieur,cadre supérieur,cadres supérieurs | cadre supérieur,,5,36.071373547604765
1594,établissement scolaire,établissement scolaire,établissements scolaires | établissement scolaire,,5,57.71419767616763
1595,ordinateur hal,ordinateur hal,ordinateur HAL,,5,36.071373547604765
1596,ingénieur américain,ingénieur américain,ingénieur américain | ingénieurs américains,,5,36.071373547604765
1597,traitement humain,traitement humain,traitement humain,,5,43.285648257125715
1598,ministre britannique,ministre britannique,ministre britannique,,5,36.071373547604765
1599,cabinet mckinsey,cabinet mckinsey,cabinet McKinsey,,5,36.071373547604765
1600,compte twitter,compte twitter,compte Twitter,,5,50.499922966646665
1601,éric sadin,éric sadin,Éric Sadin,,5,50.49992296664668
1602,facteur clé,facteur clé,facteurs clés | facteur clé,,5,43.285648257125715
1603,infrastructure informatique,infrastructure informatique,infrastructure informatique,,5,43.285648257125715
1604,compétition international,compétition internationale,compétition internationale,,5,50.49992296664668
1605,buenos aire,buenos aires,Buenos Aires,,5,36.071373547604765
1606,petit garçon,petit garçon,petit garçon,,5,36.071373547604765
1607,information utile,informations utiles,informations utiles,,5,43.28564825712572
1608,but lucratif,but lucratif,but lucratif,,5,36.071373547604765
1609,raisonnement humain,raisonnement humain,raisonnement humain,,5,36.071373547604765
1610,laboratoire américain,laboratoire américain,laboratoire américain,,5,36.071373547604765
